Inmigración en el Perú según la nacionalidad de origen >> País,Inmigración en el Perú según la nacionalidad de origen >> Cantidad,Inmigración en el Perú según la nacionalidad de origen >> Año,Inmigración en el Perú según la nacionalidad de origen >> Fuente
Venezuela,1 200 000 venezolanos,2020,​
 Colombia,34 687 colombianos,2019,​
 España,12 526 españoles,2019,​
 Estados Unidos,12 409 estadounidenses,2019,​
 Ecuador,12 350 ecuatorianos,2019,​
 Argentina,9 635 argentinos,2019,​
 Chile,8 672 chilenos,2019,​
 Brasil,8 572 brasileños,2019,​
 China,7 708 chinos,2019,​
 Bolivia,5 280 bolivianos,2017,​
México,3 242 mexicanos,2017,​
 Italia,2 781 italianos,2017,​
 Francia,2 378 franceses,2017,​
 Alemania,1 992 alemanes,2017,​
 Corea del Sur,1 555 sur-coreanos,2017,​
 Canadá,1 343 canadienses,2017,​
 Reino Unido,1 331 británicos,2017,​
 Japón,1 014 japoneses,2017,​
Uruguay,861 uruguayos,2017,​
 Cuba,821 cubanos,2017,​
 Australia,681 australianos,2017,​
 India,626 hindúes,2017,​
 República Dominicana,617 dominicanos,2017,​
Paraguay,607 paraguayos,2017,​
 Portugal,581 portugueses,2017,​
 Países Bajos,554 neerlandeses,2017,​
 Suiza,516 suizos,2017,​
Rusia,501 rusos,2017,​
 Bélgica,456 belgas,2017,​
 Guatemala,428 guatemaltecos,2017,​
 Filipinas,386 filipinos,2017,​
 Costa Rica,363 costarricenses,2017,​
 El Salvador,354 salvadoreños,2017,​
 Honduras,353 hondureños,2017,​
 Vietnam,344 vietnamitas,2017,​
Panamá,264 panameños,2017,​
 Nicaragua,260 nicaragüenses,2017,​
 Polonia,250 polacos,2017,​
Ucrania,225 ucranianos,2017,​
Rumania,221 rumanos,2017,​
Noruega,209 noruegos,2017,​
 Israel,202 israelíes,2017,​
 Austria,187 austriacos,2017,​
Suecia,158 suecos,2017,​
 Pakistán,153 pakistaníes,2017,​
 Sudáfrica,136 sudafricanos,2017,​
 Nueva Zelanda,135 neozelandeses,2017,​
 Irlanda,128 irlandeses,2017,​
 Dinamarca,125 daneses,2017,​
 Tailandia,118 tailandeses,2017,​
 Indonesia,117 indonesios,2017,​
 Turquía,115 turcos,2017,​
 República de China,107 taiwaneses,2017,​
 Bulgaria,77 búlgaros,2017,​
 Egipto,77 egipcios,2017,​
 Hungría,76 húngaros,2017,​
 Finlandia,72 finlandeses,2017,​
Otros países,130 662 extranjeros,2017,​
