País,Población venezolana en 2015​,Población venezolana en 2018,Cambio 2015-2018
 Colombia,48 714,1 174 743​,2 311 %
Perú,2 351,728 120​,30 870 %
 Estados Unidos,321 609​,418 366 (2017)​,30 % (2015-2017)
 Chile,8 001,288 233​,3 502 %
 Ecuador,8 901,221 000​,2 392 %
 España,165 895​,208 333 (2017)​,26 % (2015-2017)
 Argentina,12 856,130 000​,911 %
 Brasil,3 425,96 000​,2 702 %
Panamá,9 883,94 000​,851 %
 Italia,48 320​,51 116 (2017)​,6 % (2015-2017)
 Trinidad y Tobago,1 732​,40 000​,2 209 %
México,15 959,39 500​,147 %
 Guyana,2 132 (2013)​,36 400​,1 607 % (2013-2018)
 República Dominicana,5 417​,28 500​,426 %
 Curazao,1 152 (2011)​,26 000​,2 157 % (2011-2018)
 Costa Rica,6 437,25 000​,288 %
 Portugal,24 174,24 603 (2017)​,2 % (2015-2017)
 Canadá,17 898,20 775 (2016)​,16 % (2015-2016)
 Aruba,3 411 (2013)​,16 000​,369 % (2013-2018)
Uruguay,1 855,8 589​,363 %
 Australia,4 980​,5 770 (2017)​,16 % (2015-2017)
 Bolivia,773​,5 194​,571 %
 Suiza,4 325​,4 715 (2017)​,9 % (2015-2017)
 Países Bajos,3 977​,4 308 (2017)​,8 % (2015-2017)
 Israel,1 630​,1 760 (2017)​,8 % (2015-2017)
 Bélgica,1 511​,1 748 (2017)​,16 % (2015-2017)
 Irlanda,482 (2011)​,1 729 (2016)​,258 % (2011-2016)
Suecia,1 111​,1 284 (2017)​,16 % (2015-2017)
 Austria,955​,1 110 (2017)​,16 % (2015-2017)
Noruega,1 067​,1 095 (2017)​,3 % (2015-2017)
 Dinamarca,570​,767 (2017)​,35 % (2015-2017)
Paraguay,48​,449​,835 %
 Luxemburgo,221 (2011)​,415 (2017)​,88 % (2011-2017)
 Eslovenia,299​,324 (2017)​,8 % (2015-2017)
 Hungría,217​,281 (2017)​,29 % (2015-2017)
 Finlandia,209​,252 (2017)​,21 % (2015-2017)
 Grecia,1 159 (2013)​,211 (2017)​,449 % (2013-2017)
 Islandia,39​,52 (2017)​,33 % (2015-2017)
Eslovaquia,19​,21 (2017)​,11 % (2015-2017)
 Estonia,12​,15 (2017)​,25 % (2015-2017)
TOTAL,731 889,3 706 778,
